"ID","Category","Title","Ingredients","Method","Date"
"2623","antipasti stuzzichini","Bocconcini di pesce spada al pecorino","fettine pesce spada-olio-timo-pomodorini-basilico-pecorino-prezzemolo-maggiorana-peperoncino-erba cipollina o porro-sale-pepe","Fare delle fettine sottili e molto piccole (devono diventare bocconcini e non involtini) di pesce spada. Intanto tagliare a dadini i pomodorini con un trito di basilico, prezzemolo, timo, maggiorana, peperoncino (poco) pepe e olio; lasciare macerare in frigorifero x 30 minuti. Quindi farcire le fettine con un po' di pomodorini e qualche scaglia di pecorino (non stagionato). Arrotolare e legare con un filo di erba cipollina o un filo di porro scottato (volendo si pu&#242; usare uno stecchino, ma &#232; meno elegante). In una pirofila mettere sul fondo i dadini di pomodorini con gli aromi rimasti, sopra disporre i bocconcini; coprire con il resto dei pomodorini, un filo di olio  e scaglie di pecorino. Passare in forno molto caldo x 10 o 15 minuti, a seconda dello spessore delle fettine di pesce spada. Servire il bocconcino al centro del piatto con attorno. oltre al suo sughino, una dadolata di ratatatouille (cotta molto al dente). N.B. Va da se che se &#232; una dose piccola &#232; un antipasto, se &#232; pi&#249; abbondante va bene anche come un secondo.","10/9/2007"
"2624","antipasti stuzzichini","Brandade di baccal&#224; allo zenzero con la zucca","baccal&#224;-pane-latte-brodo vegetale-cipollotto-olio-zenzero-zucca","Mettere la fetta di zucca su una placca e cuocere in forno. Sbrindellare dei pezzetti di baccal&#224; dissalato (per 32 ore in acqua fredda) e spellato. In un tegame rosolare il verde del cipollotto tritato con poco olio poi unire il baccal&#224;, un goccio di latte o panna e del brodo vegetale, unire il pane raffermo a pezzetti o una patata lessata e cuocere per 10 o 15 minuti, amalgamando il tutto, unendo anche una grattata di zenzero. Comporre il piatto con l'aiuto di un copapasta riempito di brandade facendo un po' di pressione, attorno disporre le palline di zucca.","20/4/2007"
"2625","antipasti stuzzichini","Brie in crosta","pasta sfoglia-1 forma di brie piccola-1 uovo-salsa di pomodori-basilico","Stendere la pasta sfoglia e avvolgere una formina di brie intera, sigillando bene i bordi. Spennellare con uovo sbattuto, ritagliare delle foglioline dii pasta sfoglia, dai ritagli, e decorare il centro della formina, quindi spennellare anche il decoro. Cuocere in forno a 190&#176; x 15-20 minuti. Lasciare intiepidire un poco e servire a fette (ma si pu&#242; mangiare anche freddo) con una salsa di pomodoro e basilico o una salsa di mele o pere con pepe nero e rosa, pestati. Accompagnare ad una flute di champagne ros&#233;.","25/3/2014"
"2626","piatti etnici","Brique arabo tradizionale","Carne macinata di manzo- pollo - agnello- salsa harissa- cumino- uova intere- uova sode -pasta brique","Preparare l'impasto del brique con le carni, il cumino, la salsa harissa, uova sode tritate, uova mescolando tutto in una ciotola. Farcire dei quadrati di pasta brique e arrotolare ad  involtino , friggere poco per volta in abbondante olio.","3/4/2007"
"2627","piatti etnici","Brique con l'uovo (bourrek nenna )   Cucina Araba","Uovo intero- tonno in scatola- cipollotto scottato-pasta brique-olio arachidi","In una ciotola impastare il tonno sbriciolato, il cipollotto brasato e l' uovo intero. Tagliare dei quadrotti di pasta brique, farcire con l'impasto e avvolgere il tutto delicatamente ad involtino. Friggere in abbondante olio bollente.","3/4/2007"
"2628","piatti etnici","Brique di patate e tonno","patate lesse-scatoletta di tonno sott'olio- cipollotto- prezzemolo- formaggio grattugiato-olio di arachidi","In una ciotola impastare tutti gli ingredienti con le patate schiacciate. Tagliare dei cerchi di pasta brique della dimensione di una crepe, farcire e richiudere. Friggere in abbondante olio bollente.","14/9/2007"
"2629","antipasti stuzzichini","Budino di cavolfiore su zabaione","200 cavolfiore lesso-200 panna-3 uova-sale -x zabaione:2 rossi-brodo vegetale-erbe aromatiche","Lessare il cavolfiore (non deve contenere acqua) poi con un minipimer ad immersione frullare con 2 uova ed un rosso, sale e panna. Versare in stampini imburrati, posare in teglia a bagnomaria e cuocere sul fuoco per 20 minuti, tenendo coperto con una stagnola finch&#232; non fa vapore. Si possono preparare anche il giorno prima e riscaldare a bagnomaria prima di servire. Per la crema zabaione montare a bagnomaria i rossi ben sbattuti unendo poco per volta un goccio di brodo vegetale, alla fine unire un trito di erbe aromatiche. Servire il budino capovolto con la crema di zabaione. Naturalmente questa preprazione si pu&#242; fare con altre verdure lessate a piacere.","5/4/2007"
"2630","piatti etnici","Burrique","1) pasta brique uova-olio di semi   2) pasta brique-patate lesse-cannella-prezzemolo-sale-pepe","1) Scaldare l'olio poi immergere met&#224; disco di pasta brique per pochi secondi e versare l'uovo, rotto in un piattino, quindi coprire subito con l'altra met&#224; e friggere da ambo le parti finch&#232; dora. Servire con salsina.                                                            2) Lessare le patate poi schiacciare grossolanamente in un piatto , salare, pepare ed unire poca cannella e prezzemolo tritato, farcire i dischi di pasta brique, richiudere a crepe e friggere in olio profondo.","3/4/2007"
"2631","antipasti stuzzichini","Caesar 's  salad     ( the original )    USA","2 cespi di lattuga romana-1 tazza di grana a scagliette-pane casereccio-2 uova-2 spicchi di aglio-2 tazze di olio-2 limoni-Worchester-sale-pepe nero","Per preparare la salsa lessare al vapore l'uovo x 1 minuto, poi lasciare raffreddare, rompere in una ciotola e montare come maionese con l'olio all'aglio (lasciato in infusione e poi tolto) il succo di limone, il sale, il pepe e alla fine qualche goccia di salsa  Wochester. Intanto tostare i dadini di pane bruschettati. Poi in una ciotola grande mettere l'insalata tagliata, condire con la salsa ed unire le lamelle di grana e i dadini di pane bruschettato. Mescolare e servire subito. N.B. Per farne un piatto unico e molto pi&#249; ricco, oggigiorno, si aggiunge anche del pollo lesso o grigliato oppure del tacchino affumicato o la polpa di granchio lessato, o meglio ancora, la polpa di aragosta, tutto tagliato a dadini. P.S. Questa insalata nasce il 4 luglio del 1924, in America, dal signor Cesare Cardini nel suo ristorante di Tijuana (dopo il proibizionismo si trasferir&#224; a Los Angeles in California).","10/8/2015"
"2632","antipasti stuzzichini","Calamaretti ripieni di ricotta e patate","calamaretti-patate-ricotta-sale-pepe-verdurine","Pulire i calamaretti che devono essere piccolissimi. Tenere da parte i ciuffetti e farcire con una pur&#233; di patate mescolata a ricotta in parti uguali, sale e pepe. Cuocere al vapore insieme ai ciuffetti. Servire su una dadolata piccolissima di verdurine saltate in padella e qualche foglia di salvia fritta.","5/4/2007"
"2633","antipasti stuzzichini","Cannoli di pesce spada in agrodolce su patate croccanti","pesce spada-olio-limone-pepe-erba cipollina-aceto bianco-cipolle bianche-uvetta-pinoli-zucchero-patate","Tagliare le fette di pesce spada molto sottili (tipo carpaccio) e marinare per 30 minuti in un'emulsione di succo di limone, olio, sale, pepe e erba cipollina tritata. Intanto tagliare le cipolle con la mandolina e lasciare in acqua e goccio di aceto per 15 minuti. Poi stufare lentamente in un tegame unendo 1 c. di zucchero di canna, i pinoli e l'uvetta scolata; quando le cipolle si sono ammorbidite sfumare con un goccio di aceto bianco. Farcire a caldo con le cipolle le fettine di pesce spada, che cuocerebbero con il calore delle cipolle. Posare questi cannoli sulle fette di patata che sono state arrostite in una padella antiaderente (dopo averle sbollentate). Decorare con un filo di erba cipollina ed un po' del sughino della marinata.","5/4/2007"
"2634","antipasti stuzzichini","Capesante alla crema di patate","capesante-patate-prezzemolo-scalogno-porro-aglio-olio-funghi misti-erba cipollina-timo-maggiorana-sale-pepe","In un tegame rosolare in olio un trito di scalogno e aglio le fette di patate ed un pezzetto di porro, prezzemolo, salare, pepare e unire l'acqua, quando le patate sono cotte frullare il tutto. Fare con il minipimer un frullato di aromi, aglio, scalogno, prezzemolo e olio nel quale metteremo a marinare le capesante pulite. A parte trifolare sempre con un po' di aglio e prezzemolo i funghetti misti. In una padella rosolare le capesante. Poi comporre il piatto : in una fondina mettere la crema di patate, i funghi trifolati e per lungo le capesante tagliate a met&#224;, decorare con erba cipollina tritata e un filo di olio extra vergine.","4/4/2012"
"2635","antipasti stuzzichini","Capesante con purea di melanzana","3 capesante x p.-1 melanzana-timo-3 alici x p.-olio-sale-pepe-rosmarino","Sbucciare e tagliare a tocchi la melanzana poi metterla in un cartoccio di stagnola con sale, timo ed un filo di olio. Cuocere in forno poi frullare la polpa con l'olio ed aggiustare di sale e pepe. Intanto grigliare le capesante. Pulire e diliscare le alici, infilzare in un rametto di rosmarino, passare nella farina e friggere. Poi comporre il piatto con la purea sotto, le capesante adagiate sopra e in piedi infilzate le alici.","2/1/2007"
"2636","antipasti stuzzichini","Cappuccino di baccal&#224;","baccal&#224;-patate-olio-sale-pepe panna-bottarga-brodo vegetale","Cuocere il baccal&#224; (ammollato e sciacquato per 2 gg.) in un cort bouillon, per 15 o 20 minuti, poi scolare e frullare con abbondante olio ed un goccio del suo brodo. A parte lessare le patate poi tagliare a pezzi e in un frullatore montare con la panna liquida, deve risulare una crema morbida ma non liquida.  Comporre il cappuccino  in una tazza o in un bicchiere trasparente a strati: uno strato di 2 dita di crema di baccal&#224;, un filo di olio ed uno strato di crema di patate di 1 dito di spessore, sopra spargere una grattata di bottarga.","5/4/2007"
"2637","antipasti stuzzichini","Carciofi con bottarga di spigola","carciofi-bottarga di spigola-lardo-aglio-olio-prezzemolo","Rosolare in un tegame con l'olio ed un trito di lardo, i carciofi, puliti e tagliati a spicchietti, e i gambi; unire anche un trito di aglio e prezzemolo. Cuocere a fuoco vivace e con coperchio x pochi minuti, se occorre con  un filo di acqua. Servire, disponendolo gli spicchietti in cerchio sul piatto, con sopra della bottarga tagliata a julienne molto fine. Condire con un cucchiaio di sughino tirato con il fondo di cottura dei carciofi e magari con i gambi passati o frullati.","4/12/2012"
"2638","antipasti stuzzichini","Carpaccio di piovra o polpo allo zenzero","piovra-aromi-zenzero-olio-limone-sale-pepe-insalatina","Lessare la piovra in acqua bollente e aromi. Lasciare raffreddare un poco poi infilare la piovra (volendo con un po' di zerzero grattato) in una mezza bottiglia di plastica tagliata, comprimere e mettere nel freezer. Togliere dal freezer 10 minuti prima di affettare e quindi affettare con l'affettatrice a fette molto sottili. Presentare con un'insalatina e condire con olio, limone, sale, pepe e zenzero grattato.","22/3/2011"
"2639","antipasti stuzzichini","Carpaccio di piovra o polpo","1 kg. piovra-alloro-pomodorini-limone-olio-prezzemolo-pepe","Lessare normalmente la piovra in un courtbouillon con sale, alloro, carota, sedano, limone, partendo da freddo e cuocere per 1 h. o 1.30 h. (dipende dalla grandezza della piovra). Lasciare intiepidire nella sua acqua, poi, da tiepida, mettere la piovra, in un contenitore cilindrico di plastica (va bene anche una bottiglia di plastica tagliata) dandogli la forma, pressandolo bene con una scatoletta pesante e tenendolo pressato. Raffreddare in frigorifero per una notte, estrarre dal contenitore e poi tagliare con l'affettatrice a fette tonde molto sottili o con un coltello molto affilato. Servire su un letto di insalatina, con pomodorini ciliegino tagliati a met&#224;, un po' di prezzemolo tritato ed un'emulsione di limone, frullato con il minipimer ad immmersione con l'olio, il sale ed il pepe. Decorare il piatto con le punte dei tentacoli, tenute da parte, ed un ciuffetto di prezzemolo.","17/12/2013"
"2640","antipasti stuzzichini","Carpaccio tiepido di verdure e mousse di alici","melanzana.-peperone-fagiolini-carote-asparagi-prezzemolo-zucchina-aglio-olio-panna-pan carr&#233;-alici-cardamomo","Scottare i fagiolini e le carote tagliate a julienne, gli asparagi (poi raffreddare in acqua e ghiaccio); tagliare le melanzane e le zucchine x lungo e grigliare, grigliare il peperone e spellarlo, poi fare dei filetti. In un mixer tritare il pan carr&#233; (senza crosta) con il prezzemolo e uno spicchio di aglio. Poi comporre il carpaccio in una terrina rettangolare foderata con pellicola facendo vari strati di verdure tutte intercalate con il prezzemolo tritato, e sopra un filo di olio. Richiudere con la pellicola e pressare, tenere in frigorifero per 1 notte. Fare una salsa in padella con l'aglio tritato, le alici sott'olio, e l'olio, frullare poi a freddo incorporare un po' di panna semimontata. Prima di servire, affettare poi scaldare un poco il carpaccio di verdure. Servire con un po' di salsa di alici (che ricorda gli ingredienti della  bagna cauda) in una ciotolina, e sopra le verdure, un filo di olio e del cardamomo pestato.","25/7/2009"
"2641","antipasti stuzzichini","Caviale su crema di patate e porri","caviale-patate-porri-erba cipollina-panna","Fare una crema di patate e porri poi passare al frullare ad immersione e filtrare. Si pu&#242; preparare anche prima, poi scaldare al momento di servire, aggiungendo un cucchiaio di panna. Servire in balloon con sotto la crema tiepida e sopra un cucchiaino di caviale, freddo, ed un piccolissimo trito di erba cipollina. Decorare con 2 fili di erba cipollina incrociati.","2/1/2008"
"2642","antipasti stuzzichini","Caviar d'aubergine in scrigno di pasta sfoglia","melanzana-scalogno-aglio-olio pomodoro-olive taggiasche-capperi-origano-fines herbes-basilico-tuorlo-pasta sfoglia","Tagliare a met&#224; la melanzana ed avvolgere in carta stagnola, poi cuocere in forno per 30 o 40 minuti. In una padella rosolare con l'olio, l'aglio e lo scalogno tritati poi unire la melanzana spellata e spappolata, unire 2 o 3 c.di sugo di pomodoro, un cuchiaino di concentrato, le olive snocciolate ed i capperi ben sciacquati, salare, e spolverare di origano e di fines herbes. Quando &#232; tutto ben asciutto frullare nel mixer e conservare in frigorifero. Fare dei dischi di pasta sfoglia, spennellare con rosso d'uovo e cuocere su carta forno in forno a 200&#176; x pochi minuti (finch'&#232; gonfia e dora). Tagliare come panini la pasta sfoglia e posare all'interno una o due quenelle di caviar d'aubergine, posare sopra il coperchio decorare con una foglia di basilico fresco.","5/4/2007"
"2643","antipasti stuzzichini","Cestini di polenta con fonduta di Castelmagno","farina gialla-noci-x fonduta: 200 Castelmagno-50 latte-50 panna-tartufo","Fare una polenta classica, poi alla fine unire le noci sbriciolate, foderare dei pirottini con la polenta, tenendo l'interno vuoto. Lasciare raffreddare. Poi prima di servire, togliere dai pirottini la polenta che ha preso la forma di un contenitore o cestino e  riempire l'incavo con la fonduta di Castelmagno (basta sciogliere nel latte e panna, il formaggio a scaglie, e fare addensare un po'). Gratinare al forno per qualche minuto, prima di servire. Volendo e potendo coprire con una grattata di tartufo.  N.B. Al posto della fonduta, i cestini di polenta, si possono riempire con un rag&#249; classico o con funghi porcini trifolati.","5/12/2008"
"2644","antipasti stuzzichini","Cheese cake al parmigiano","bacon-3 uova-120 parmigiano-250 ricotta-200 panna-2 c. noci -3 fette pane-latte-burro-carciofi-farina","Rosolare il bacon a dadini piccolissimi in una padella antiaderente senza condimento. Intanto che si raffreddano, montare con le fruste le uova, il grana, la ricotta, la panna e le noci pestate al mortaio poi unire la pancetta affumicata. Versare in uno stampo per torte imburrato, poi sopra coprire con le fette di pane casereccio appena passate nel latte e qualche fiocchetto di burro. Cuocere in forno a 200&#176; x 40 minuti. Servire capovolta con sopra i carciofi (tagliati finemente, passati nella farina)  fritti.","4/12/2012"
"2645","antipasti stuzzichini","Girelle al prosciutto","pasta lievitata (500 farina-1 c. lievito birra-sale-250 acqua)-prosciutto cotto-mozzarella-salvia-olio-origano","Fare la pasta per pizza in modo classico e lasciare lievitare x c.a. 1 h. Poi stendere in un rettangolo sottile di cm. 20 x 30. Coprire con le fette di prosciutto cotto, la salvia tritata e le fette di mozzarella. Arrotolare e tagliare a fette spesse. Posare le fette in uno stampo da ciambella imburrato, poi spennellare con un'emulsione di olio e origano. Cuocere in forno a 200&#176; x 20 - 25 minuti.","4/5/2008"
"2646","antipasti stuzzichini","Ciambellone brioche di verdure","350 farina-150 burro-100 acqua-3 uova-1 c. lievito-1 c. zucchero-sale-2 peperoni-carota-zucchine-150 prosciutto cotto-150 emmental -1 uovo","'Fare la pasta brioche impastando la farina, il burro ammorbidito, il sale, lo zucchero, quindi il lievito sciolto nell'acqua tiepida, poi le uova. Dopo versare tutto sul tagliere ed impastare con un po' di farina, lasciare lievitare x 1 h. Intanto tagliare tutto a cubetti: il peperone rosso e verde (grigliati e spellati), le carote e le zucchine scottate, il prosciutto ed il formaggio; impastare tutto con 3 uova sbattute. Stendere la pasta in un rettangolo di cm. 30x40 e farcire con l'impasto ben steso. Arrotolare e disporre in uno stampo x ciambelle richiudendo i bordi, spennellare con un uovo sbattuto e lasciare riposare x un'altra ora. Cuocere in forno a 200&#176; x 60 m.    Si serve a fette sia caldo che freddo.'","3/1/2007"
"2647","antipasti stuzzichini","Ciangotto di verdure","2 patate-1 zucchina-olio-1 pomodoro-foglie sedano-1/2 peperone verde-basilico-pecorino-sale-pepe-farina","Tagliare a dadini piccolissimi le verdure poi rosolare appena in un tegame con l'olio sale e pepe, unire un bicchiere d'acqua e cuocere per pochi minuti, scolare il tutto e posizionare con l'aiuto dello scolapasta le verdure al centro del piatto. Guarnire con scaglie di pecorino fresco e fettine di zucchina infarinate e fritte, decorare con una foglia di basilico e dadini di pomodoro fresco attorno.","20/4/2007"
"2648","antipasti stuzzichini","Clafoutis di verdure","2 zucchine-piselli-150 asparagi-2 scalogni-brie o taleggio x Appareil:2 uova i.-20 farina-100 panna-100 latte","In una padella rosolare con l'olio gli scalogni tritati, poi unire le verdure tagliate a pezzetti, i piselli freschi o le fave scottate e spellate, salare e cuocere x 10 minuti. Intanto tagliare dei dischi di pane, dalle fette di pan carr&#233;, poi spennellare con olio e spolverare di paprika. Passare in forno a 200&#176; x 10 minuti. Intanto preparare l'appareil sbattendo le uova con la farina poi unire la panna ed il latte. Quindi foderare una pirofila grande o delle piccole, a porzione, con le fette di pane , i pezzetti di formaggio brie o taleggio (nelle fessure), quindi tutte le verdure brasate. Versare sopra l'appareil e cospargere di grana. Cuocere in forno a 180&#176; x 25 o 30 minuti. Servire a fette.","25/7/2009"
"2649","antipasti stuzzichini","Cocktail di scampi in salsa aurora","scampi (o gamberi o mazzancolle)-lattuga-sedano bianco-250 maionese-1 c. Cognac-3 c. ketchup-1 c. Worchester-3 c.panna-court bouillon","Cuocere gli scampi (o gamberi o mazzancolle), nel court bouillon per 3 minuti, poi passarli sotto l'acqua fredda e sgusciarli. Intanto preparare la salsa aurora con la maionese (meglio se fatta a mano con un olio leggero e limone), la salsa Ketchup, la Worchester ed 1 cucchiaio di Cognac, per ammorbidirne il sapore unire anche 3 cucchiai di panna. Comporre il cocktail nelle coppette con il cuore di lattuga tagliato a listelli, sul fondo, qualche dadino di sedano bianco (ma non troppo), quindi gli scampi o gamberetti e sopra a tutto, la salsa aurora. Decorare con uno scampo sgusciato solo in parte ed un rametto di sedano.","20/4/2007"
"2650","antipasti stuzzichini","Cocotte di prosciutto  uova e formaggio","prosciutto cotto affumicato o bacon-uova-panna-pepe-cheddar","Mettere sul fondo di una cocottina o ramequin, una fetta di prosciutto cotto affumicato, salare pepare e coprire con la panna, aprire un uovo e ricoprire di abbondante formaggio cheddar grattato. Cuocere in forno a 200&#176; x 10 minuti. Servire caldo dentro la cocottina ( l'uovo all'interno deve essere ancora morbido). Al posto del prosciutto si pu&#242; usare anche il bacon, ma allora bisogna rosolarlo prima. N.B. Va bene soprattutto in un buffet, un branch o un ricco breakfast all'inglese.","3/11/2014"
"2651","antipasti stuzzichini","Fonduta di parmigiano e dadini di polenta in coppa","350 parmigiano-1 tuorlo-250 panna-sale-pepe-polenta-pomodori secchi sott'olio","Fare una fonduta di parmigiano (volendo si pu&#242; fare anche con il gorgonzola) facendo una riduzione in tegame con panna liquida, parmigiano grattato, sale e pepe. Poi alla fine unire il rosso d'uovo. Versare in bicchieri da Martini o in piccole tazze e decorare con dadini di polenta grigliata. (N.B. al posto della polenta si possono mettere sopra delle fettine di carciofo impastellato e fritto). Decorare con filettini di pomodoro secco sott'olio.","15/1/2014"
"2652","antipasti stuzzichini","Cosce di rana in crosta di patate","cosce di rana- aglio- olio- limone-patate- prezzemolo- acciughe sott'olio-capperi","Marinare le cosce di rana per 4 ore nel frigo con un spicchio di aglio, olio, scorza di limone e prezzemolo. Con l'apposita macchinetta fare degli spaghetti di patate e arrotolare intorno alla coscetta di rana con l'ossicino sporgente. Preparare una salsetta cuocendo le patate a pezzi con olio, aglio e un goccio d'acqua. Frullare con abbondante prezzemolo, capperi e due acciughe sott'olio: deve risultare una salsetta verde e piuttosto liquida. Friggere le coscette di rana in olio profondo. Servire con una specchiatura di questa salsa verde ed un ciuffetto di prezzemolo fresco.","20/4/2007"
"2653","antipasti stuzzichini","Cozze gratinate al pomodoro","cozze-capperi-aglio-olio-prezzemolo-sugo pomodoro-basilico-pan pesto-pecorino","Aprire le cozze in padella con olio, aglio ed un goccio di vino bianco. Intanto preparare una farcia di pan pesto, capperi tritati, basilico o menta, pecorino grattatto ed un po' di sugo di pomodoro per impastare. Togliere le cozze dalle valve e mettere sotto le cozze un po' di farcia e di pi&#249; sopra (la cozza resta pizzicata al centro). Posare su teglia e gratinare per 4 o 5 minuti sotto il grill. Servire decorando con qualche cucchiaio di sugo di pomodoro, passato al colino, sotto e le cozze messe a corona con qualche cappero per decorare sopra. Volendo si possono anche servire togliendole dalle mezze valve.","20/4/2007"
"2654","antipasti stuzzichini","Cozze gratinate con sugo di pomodoro e pecorino","pane grattato-pecorino o grana-basilico o menta-cozze-vino bianco-pomodori-aglio-capperi","In una padella aprire le cozze con un filo di vino bianco, ma non fare cuocere. Intanto preparare la panure in un mixer: grattare met&#224; pane secco e met&#224; formaggio pecorino sardo (o parmigiano), un trito di basilico o menta, un cucchiaio di sugo di pomodoro e qualche cappero tritato, amalgamare con un goccio di vino bianco ed un filo di olio. Coprire le cozze aperte (sotto e sopra) con questa panure e gratinare x 5 minuti in forno sotto il grill. Servire a corona nel piatto con cucchiai di sugo di pomodoro sotto, (schiacciato e passato al colino); decorare con qualche cappero ed un trito di mentuccia o basilico fresco.","27/9/2008"
